Entidad federativa de residencia habitual de la persona fallecida,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
Entidad federativa de residencia habitual de la persona fallecida,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado
Morelos,9764,5319,4442,3,9653,5337,4289,27,10317,5778,4535,4,10703,5997,4698,8,10623,5800,4820,3,11236,6117,5106,13,12440,6791,5617,32,12353,6754,5598,1,12319,6923,5392,4,13563,7767,5794,2,18442,10960,7481,1,22224,13152,9071,1
Nayarit,5935,3536,2399,0,6089,3646,2441,2,5724,3350,2374,0,6035,3462,2571,2,6015,3461,2553,1,6187,3613,2570,4,6555,3757,2798,0,6976,4084,2880,12,6487,3772,2715,0,6956,4001,2954,1,8708,5104,3603,1,10297,6038,4258,1
Nuevo León,23116,13288,9792,36,23913,13991,9833,89,23965,13938,9883,144,24462,13870,10564,28,24681,13693,10954,34,25087,13904,11170,13,26029,14645,11360,24,26920,15052,11856,12,27818,15689,12124,5,29711,16744,12963,4,42418,24719,17694,5,45234,26139,19083,12
Oaxaca,21721,11846,9875,0,20919,11355,9561,3,21525,11598,9924,3,22241,12015,10226,0,22798,12252,10546,0,24334,13103,11225,6,24782,13265,11506,11,24914,13211,11701,2,25073,13437,11636,0,26090,13982,12107,1,33072,18796,14272,4,40257,22511,17740,6
Puebla,31031,16432,14583,16,31244,16716,14522,6,31843,17087,14746,10,33100,17725,15369,6,33730,18256,15468,6,34517,18496,16020,1,36353,19489,16859,5,37724,20197,17521,6,37855,20263,17586,6,38860,20977,17881,2,56745,32275,24462,8,65936,36958,28970,8
Querétaro,7964,4384,3577,3,7853,4401,3448,4,8395,4707,3688,0,8854,4927,3927,0,9120,4936,4183,1,9034,5089,3942,3,9877,5457,4417,3,10361,5788,4572,1,10569,5942,4627,0,10816,5999,4816,1,15114,8856,6256,2,18003,10387,7611,5
Quintana Roo,4436,2762,1671,3,4409,2709,1689,11,4659,2855,1798,6,4872,2896,1972,4,5045,2999,2045,1,5738,3459,2279,0,6232,3715,2515,2,6424,3901,2522,1,7062,4363,2699,0,7417,4521,2895,1,11003,6927,4075,1,11213,6863,4350,0
San Luis Potosí,13290,7314,5972,4,13004,7161,5835,8,13361,7521,5820,20,14343,7953,6375,15,14543,8094,6442,7,14163,7800,6354,9,14976,8297,6673,6,16149,8946,7202,1,16424,9142,7277,5,16697,9312,7381,4,24427,14024,10400,3,25197,14515,10678,4
Sinaloa,15467,9854,5587,26,15669,9858,5784,27,14344,8909,5424,11,14848,8957,5887,4,14881,8979,5902,0,15357,9087,6265,5,16128,9719,6406,3,16279,9804,6475,0,16011,9625,6383,3,16496,9805,6690,1,23962,14443,9512,7,23762,13893,9866,3
Sonora,14916,8747,6157,12,14752,8704,6038,10,15001,8804,6183,14,15451,9152,6281,18,16041,9521,6503,17,16507,9641,6856,10,16807,9849,6945,13,16729,9906,6820,3,17644,10461,7183,0,18485,11100,7336,49,27814,16754,11047,13,25273,15139,10105,29
Tabasco,11156,6557,4594,5,10715,6294,4419,2,10834,6292,4536,6,11738,6775,4963,0,12120,6957,5163,0,12666,7283,5382,1,13263,7654,5608,1,13016,7390,5625,1,13548,7731,5817,0,14679,8379,6299,1,21871,12775,9095,1,19189,10874,8315,0
Tamaulipas,17200,10079,7109,12,16880,9932,6903,45,17856,10533,7279,44,18163,10371,7752,40,18611,10514,8040,57,18700,10546,8115,39,19334,10967,8351,16,19587,11208,8375,4,19596,11164,8425,7,19703,11194,8505,4,28025,16354,11665,6,26661,15173,11483,5
Tlaxcala,5535,2958,2574,3,5471,2910,2554,7,5659,3103,2553,3,5869,3233,2632,4,5931,3167,2761,3,6110,3329,2781,0,6602,3588,3014,0,6591,3558,3031,2,6946,3838,3107,1,6952,3787,3165,0,12033,7089,4944,0,12331,7053,5278,0
Veracruz de Ignacio de la Llave,45079,24669,20404,6,45417,25275,20111,31,47585,26391,21159,35,48495,26656,21822,17,49440,27192,22238,10,52354,28901,23438,15,53749,29694,24009,46,52820,28959,23860,1,53395,29005,24388,2,57220,31265,25953,2,74758,42455,32302,1,79053,43560,35489,4
Yucatán,11172,6046,5125,1,10763,5893,4867,3,10954,6068,4886,0,11606,6409,5197,0,11819,6517,5301,1,13282,7266,6012,4,13080,7189,5886,5,12636,6930,5703,3,13017,7079,5937,1,13483,7409,6073,1,18221,10329,7889,3,18999,10689,8308,2
Zacatecas,8373,4614,3757,2,7988,4461,3514,13,8414,4719,3689,6,8970,5036,3911,23,8705,4826,3876,3,8838,5001,3832,5,9608,5426,4174,8,9497,5433,4064,0,9596,5519,4075,2,9990,5747,4242,1,14519,8602,5917,0,14943,8873,6069,1
Extranjero,1132,811,321,0,1047,727,320,0,1095,756,339,0,1104,773,331,0,1054,749,305,0,1095,779,316,0,1329,897,432,0,1290,893,396,1,1127,775,352,0,1456,1011,445,0,1107,793,312,2,1661,1146,515,0
No especificado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7909,6379,1210,320,16681,12830,3574,277,12327,9575,2418,334,12306,9645,2031,630,10466,8436,1441,589
